,total_path_length,total_path_length,total_path_length,total_path_length,maximum_single_robot_path,maximum_single_robot_path,maximum_single_robot_path,maximum_single_robot_path
,mean,std,min,max,mean,std,min,max
algorithm,,,,,,,,
ACO,1708.48,982.7,620.16,2953.88,565.61,328.74,177.36,1007.08
AR-ACO,1371.75,659.99,601.93,2195.51,451.12,241.65,177.86,800.78
DL-ACO,1379.87,700.44,583.75,2317.97,438.81,238.11,184.13,788.01
Genetic Algorithms,11489.57,9743.91,1800.52,23909.16,3012.38,2513.63,534.32,6318.43
IEACO,3157.89,2370.62,621.38,6366.46,1027.72,805.43,178.69,2215.37
MST+ACO,1296.9,570.52,613.98,1995.78,367.68,136.61,200.05,533.2
MST+AR-ACO,1365.08,679.11,584.74,2218.41,413.51,210.73,172.78,721.45
Simulated Annealing,12630.86,10395.61,1949.17,26546.87,3491.12,2742.62,573.37,6979.64
Smooth ACO,1555.62,800.34,649.43,2546.79,516.28,286.35,190.62,940.31
